crop,N,P,K,ph,recommended_fertilizer,quantity_kg_per_acre,estimated_cost_inr,organic_alternative
papaya,60.1,50.6,60.1,5.3,Urea,49.3,320.45,Poultry Manure
mothbeans,83.8,49.4,73.0,5.84,DAP,25.7,693.9,Vermicompost
grapes,70.9,36.2,20.9,6.89,MOP,86.9,1477.3,Neem Cake
jute,104.3,80.5,69.5,6.77,NPK 19-19-19,27.3,655.2,Green Manure
coconut,79.6,53.3,57.1,7.5,DAP,26.2,707.4,Neem Cake
blackgram,38.7,13.3,75.1,6.36,DAP,103.3,2789.1,Poultry Manure
papaya,56.2,46.2,12.1,5.03,MOP,90.9,1545.3,Green Manure
orange,90.9,26.1,84.1,5.64,DAP,47.5,1282.5,Poultry Manure
mango,52.4,42.3,83.4,7.0,Urea,54.3,352.95,Vermicompost
cotton,10.2,21.6,54.7,6.32,Urea,120.9,785.85,Poultry Manure
papaya,70.9,63.9,40.8,4.68,MOP,36.8,625.6,Poultry Manure
blackgram,75.9,41.6,16.8,6.54,MOP,68.6,1166.2,Neem Cake
rice,98.0,64.2,36.6,6.15,MOP,36.3,617.1,Green Manure
blackgram,93.8,55.6,81.7,5.9,NPK 19-19-19,22.9,549.6,Neem Cake
blackgram,95.9,50.7,15.1,6.95,MOP,66.5,1130.5,Vermicompost
pigeonpeas,66.1,50.6,37.8,6.13,MOP,62.3,1059.1,Poultry Manure
blackgram,72.1,51.3,51.8,7.61,DAP,33.9,915.3,Poultry Manure
mango,46.9,78.8,25.4,6.99,MOP,87.3,1484.1,Neem Cake
orange,21.3,40.8,23.1,5.15,Urea,120.6,783.9,Compost + Biofertilizer
pomegranate,54.9,33.5,15.7,5.97,MOP,92.6,1574.2,Vermicompost
lentil,68.7,30.3,63.6,6.63,DAP,52.0,1404.0,Green Manure
pigeonpeas,83.1,74.8,91.0,6.87,NPK 10-26-26,22.2,510.6,Compost + Biofertilizer
watermelon,67.5,45.7,27.2,6.52,MOP,74.0,1258.0,Neem Cake
rice,28.4,35.8,42.7,7.14,Urea,114.8,746.2,Vermicompost
coconut,71.9,32.9,43.7,6.74,DAP,74.0,1998.0,Poultry Manure
jute,67.6,90.0,14.1,7.45,MOP,75.0,1275.0,Green Manure
coconut,45.2,5.1,38.3,5.9,DAP,106.7,2880.9,Compost + Biofertilizer
mungbean,58.5,63.4,36.2,6.0,MOP,58.6,996.2,Compost + Biofertilizer
mango,77.3,17.0,47.0,6.21,DAP,73.8,1992.6,Green Manure
coffee,72.0,65.5,45.8,5.4,MOP,40.6,690.2,Neem Cake
coconut,94.9,33.6,72.1,6.41,DAP,51.0,1377.0,Green Manure
pigeonpeas,62.7,60.2,74.4,4.81,Urea,32.0,208.0,Neem Cake
coffee,69.6,30.1,12.4,7.18,MOP,100.6,1710.2,Poultry Manure
mungbean,89.7,41.8,29.7,7.26,MOP,62.0,1054.0,Vermicompost
orange,63.0,45.8,86.2,7.07,Urea,51.6,335.4,Vermicompost
rice,35.7,30.8,13.1,6.98,MOP,132.1,2245.7,Compost + Biofertilizer
pigeonpeas,46.1,62.3,53.8,7.32,Urea,51.2,332.8,Compost + Biofertilizer
coffee,38.3,28.8,58.5,6.66,Urea,89.7,583.05,Neem Cake
lentil,102.5,28.2,46.6,7.93,DAP,55.1,1487.7,Farmyard Manure (FYM)
cotton,69.8,37.8,81.1,6.34,DAP,45.3,1223.1,Poultry Manure
maize,31.2,66.2,46.8,6.92,Urea,81.7,531.05,Green Manure
banana,89.6,45.6,38.0,5.94,MOP,54.3,923.1,Farmyard Manure (FYM)
blackgram,22.2,38.6,47.4,6.51,Urea,109.2,709.8,Neem Cake
watermelon,28.3,44.4,36.6,6.35,Urea,102.2,664.3,Vermicompost
grapes,57.5,41.5,34.2,6.5,MOP,77.9,1324.3,Green Manure
chickpea,60.0,45.0,36.6,6.88,MOP,66.6,1132.2,Neem Cake
rice,29.2,30.4,49.7,5.71,Urea,99.5,646.75,Poultry Manure
coconut,51.1,34.6,33.2,5.71,Urea,101.1,657.15,Vermicompost
cotton,47.9,22.8,61.6,6.84,DAP,84.5,2281.5,Green Manure
cotton,60.0,91.2,36.2,6.83,MOP,58.7,997.9,Poultry Manure
maize,54.9,49.0,34.3,6.29,MOP,76.4,1298.8,Green Manure
orange,68.5,24.7,69.5,7.8,DAP,65.1,1757.7,Farmyard Manure (FYM)
lentil,72.0,41.0,84.4,4.69,DAP,43.0,1161.0,Green Manure
pigeonpeas,100.1,26.6,0.0,6.49,MOP,99.5,1691.5,Neem Cake
kidneybeans,40.2,12.3,35.9,5.96,DAP,120.6,3256.2,Vermicompost
grapes,50.5,39.7,56.7,6.61,Urea,83.9,545.35,Poultry Manure
banana,48.9,53.4,92.1,6.13,Urea,57.7,375.05,Farmyard Manure (FYM)
rice,100.7,19.6,38.0,6.53,DAP,78.3,2114.1,Poultry Manure
pigeonpeas,59.3,36.7,44.2,6.17,DAP,84.5,2281.5,Compost + Biofertilizer
orange,51.9,67.9,61.8,6.0,Urea,46.4,301.6,Poultry Manure
chickpea,69.5,60.9,42.5,6.8,MOP,38.6,656.2,Poultry Manure
chickpea,52.7,35.2,73.4,7.67,Urea,75.3,489.45,Farmyard Manure (FYM)
pomegranate,97.3,12.8,79.3,6.63,DAP,59.4,1603.8,Vermicompost
jute,84.6,69.1,37.3,5.65,MOP,43.2,734.4,Poultry Manure
chickpea,41.0,71.4,49.7,6.96,Urea,65.7,427.05,Green Manure
rice,87.9,36.3,50.3,5.32,DAP,45.7,1233.9,Farmyard Manure (FYM)
grapes,77.7,48.5,72.6,6.95,DAP,30.8,831.6,Compost + Biofertilizer
mothbeans,36.5,145.0,61.3,7.43,Urea,57.9,376.35,Neem Cake
orange,71.1,27.6,81.5,6.66,DAP,48.0,1296.0,Green Manure
coconut,66.1,67.5,11.2,5.04,MOP,70.7,1201.9,Green Manure
maize,84.7,46.5,18.1,6.52,MOP,65.3,1110.1,Green Manure
cotton,103.6,42.4,52.9,5.94,DAP,41.5,1120.5,Neem Cake
coconut,33.3,65.8,40.0,6.98,Urea,72.2,469.3,Farmyard Manure (FYM)
maize,54.7,23.4,16.3,7.34,MOP,108.9,1851.3,Neem Cake
maize,30.3,40.8,98.5,6.23,Urea,80.2,521.3,Green Manure
pigeonpeas,58.1,45.5,47.9,6.68,Urea,68.6,445.9,Farmyard Manure (FYM)
chickpea,58.1,27.7,31.9,7.17,DAP,86.0,2322.0,Compost + Biofertilizer
apple,20.8,30.5,24.0,6.4,Urea,133.1,865.15,Poultry Manure
rice,20.0,8.7,88.5,5.3,Urea,119.3,775.45,Compost + Biofertilizer
pomegranate,54.0,37.9,44.5,5.99,Urea,78.7,511.55,Farmyard Manure (FYM)
papaya,54.9,44.3,30.8,7.26,MOP,80.3,1365.1,Green Manure
mothbeans,48.4,73.4,73.3,6.84,Urea,43.5,282.75,Neem Cake
maize,18.3,51.1,73.6,5.69,Urea,79.2,514.8,Poultry Manure
muskmelon,56.0,30.1,22.2,6.21,MOP,98.6,1676.2,Poultry Manure
papaya,54.4,94.1,80.0,6.62,Urea,44.4,288.6,Compost + Biofertilizer
banana,37.0,39.1,67.5,7.2,Urea,74.9,486.85,Neem Cake
orange,59.2,8.5,47.4,5.74,DAP,87.9,2373.3,Green Manure
rice,58.0,58.4,27.3,6.18,MOP,75.8,1288.6,Poultry Manure
watermelon,44.6,58.4,48.0,7.51,Urea,63.1,410.15,Neem Cake
rice,53.9,73.9,28.0,5.68,MOP,77.0,1309.0,Vermicompost
mothbeans,32.2,49.3,59.9,7.52,Urea,67.7,440.05,Vermicompost
chickpea,95.7,29.8,33.7,7.22,DAP,68.6,1852.2,Farmyard Manure (FYM)
pomegranate,33.9,47.3,53.3,6.09,Urea,74.9,486.85,Neem Cake
coffee,57.5,36.9,63.5,5.92,DAP,61.1,1649.7,Neem Cake
muskmelon,42.3,35.0,30.5,8.03,Urea,108.0,702.0,Farmyard Manure (FYM)
kidneybeans,76.2,38.6,20.2,7.08,MOP,78.0,1326.0,Compost + Biofertilizer
muskmelon,52.2,56.0,23.9,7.55,MOP,76.4,1298.8,Farmyard Manure (FYM)
chickpea,55.3,29.4,35.1,7.25,DAP,85.2,2300.4,Vermicompost
cotton,63.5,48.5,74.1,6.19,Urea,40.2,261.3,Poultry Manure
chickpea,4.6,43.3,25.6,5.72,Urea,130.5,848.25,Farmyard Manure (FYM)
mungbean,67.7,17.3,26.6,6.32,DAP,99.9,2697.3,Farmyard Manure (FYM)
banana,57.7,48.8,43.3,5.21,Urea,70.1,455.65,Vermicompost
rice,41.5,66.0,42.2,7.33,Urea,72.9,473.85,Farmyard Manure (FYM)
watermelon,75.1,47.9,45.8,6.35,MOP,52.4,890.8,Vermicompost
blackgram,58.5,10.5,26.4,7.38,DAP,115.2,3110.4,Vermicompost
maize,58.7,31.5,55.5,6.82,DAP,65.5,1768.5,Compost + Biofertilizer
watermelon,46.3,84.2,36.3,7.71,Urea,69.7,453.05,Vermicompost
pomegranate,66.0,41.3,64.4,6.9,DAP,49.6,1339.2,Green Manure
jute,92.6,49.1,51.8,7.04,DAP,39.0,1053.0,Vermicompost
jute,65.8,97.8,51.1,6.2,Urea,40.8,265.2,Poultry Manure
blackgram,64.2,45.9,26.7,6.63,MOP,70.8,1203.6,Farmyard Manure (FYM)
cotton,102.8,17.0,30.5,5.94,DAP,85.1,2297.7,Farmyard Manure (FYM)
chickpea,26.6,21.4,85.1,6.2,Urea,96.9,629.85,Farmyard Manure (FYM)
kidneybeans,66.0,64.9,71.2,5.57,Urea,26.2,170.3,Farmyard Manure (FYM)
mungbean,21.5,65.9,68.7,6.09,Urea,79.5,516.75,Farmyard Manure (FYM)
cotton,69.2,32.1,45.7,6.31,DAP,61.8,1668.6,Farmyard Manure (FYM)
orange,115.4,34.9,53.3,6.76,DAP,53.3,1439.1,Poultry Manure
lentil,67.4,64.6,67.5,7.95,Urea,28.4,184.6,Neem Cake
cotton,42.6,42.2,72.1,6.73,Urea,63.8,414.7,Neem Cake
maize,85.5,64.1,55.0,6.48,NPK 19-19-19,28.7,688.8,Neem Cake
mothbeans,53.8,46.1,14.8,5.74,MOP,89.5,1521.5,Compost + Biofertilizer
cotton,81.5,36.6,34.3,6.52,MOP,58.2,989.4,Neem Cake
rice,131.6,54.2,62.3,5.88,DAP,32.6,880.2,Poultry Manure
pigeonpeas,29.8,38.8,57.8,6.41,Urea,80.2,521.3,Neem Cake
grapes,51.6,72.2,38.1,6.8,Urea,62.3,404.95,Green Manure
banana,33.3,54.3,34.9,6.91,Urea,87.3,567.45,Poultry Manure
lentil,52.6,32.2,32.3,7.8,DAP,92.3,2492.1,Compost + Biofertilizer
muskmelon,15.0,38.2,58.2,5.96,Urea,100.4,652.6,Neem Cake
coffee,24.4,63.4,25.5,6.9,Urea,108.5,705.25,Compost + Biofertilizer
coconut,103.1,37.5,25.2,5.33,MOP,71.7,1218.9,Vermicompost
muskmelon,57.1,32.4,39.6,5.69,DAP,87.3,2357.1,Compost + Biofertilizer
apple,29.6,34.2,36.6,6.77,Urea,100.5,653.25,Neem Cake
coconut,66.7,42.0,47.0,5.26,DAP,60.0,1620.0,Compost + Biofertilizer
jute,77.3,9.5,70.4,7.12,DAP,68.3,1844.1,Neem Cake
lentil,36.1,73.1,16.1,6.03,Urea,96.1,624.65,Vermicompost
papaya,89.0,59.7,30.9,6.97,MOP,50.0,850.0,Neem Cake
lentil,83.1,54.1,45.1,6.24,MOP,37.5,637.5,Neem Cake
maize,65.9,23.9,22.4,6.7,MOP,97.0,1649.0,Poultry Manure
chickpea,56.9,17.3,23.8,7.57,DAP,108.5,2929.5,Poultry Manure
coconut,68.0,20.5,57.0,7.42,DAP,65.5,1768.5,Neem Cake
watermelon,86.4,33.4,53.4,5.15,DAP,52.6,1420.2,Compost + Biofertilizer
mango,91.8,11.5,61.1,6.49,DAP,60.8,1641.6,Farmyard Manure (FYM)
coconut,54.3,27.3,73.7,5.98,DAP,77.2,2084.4,Farmyard Manure (FYM)
lentil,44.3,49.7,56.6,5.19,Urea,60.6,393.9,Vermicompost
watermelon,66.8,44.0,68.0,6.53,DAP,44.7,1206.9,Green Manure
mungbean,40.3,62.9,79.9,6.63,Urea,50.7,329.55,Poultry Manure
muskmelon,67.5,61.9,39.8,6.86,MOP,49.6,843.2,Vermicompost
mungbean,45.0,16.4,50.4,6.19,DAP,93.0,2511.0,Vermicompost
jute,122.5,46.1,35.5,7.5,MOP,55.2,938.4,Vermicompost
papaya,82.5,48.5,89.3,6.04,DAP,32.4,874.8,Compost + Biofertilizer
kidneybeans,47.6,39.0,61.8,5.98,Urea,64.8,421.2,Green Manure
banana,52.8,48.9,61.6,7.73,Urea,56.8,369.2,Neem Cake
coconut,57.6,35.8,38.1,6.81,DAP,81.9,2211.3,Green Manure
mungbean,93.0,70.6,57.4,6.25,NPK 10-26-26,25.0,575.0,Compost + Biofertilizer
kidneybeans,16.0,16.1,58.5,5.97,Urea,108.2,703.3,Poultry Manure
orange,37.0,26.6,61.6,6.85,Urea,98.0,637.0,Green Manure
mango,71.0,58.6,51.1,5.96,Urea,41.9,272.35,Compost + Biofertilizer
mothbeans,47.5,24.2,56.5,5.78,DAP,85.0,2295.0,Vermicompost
rice,47.4,46.9,48.2,7.32,Urea,67.0,435.5,Green Manure
lentil,52.3,25.4,43.4,6.82,DAP,88.4,2386.8,Poultry Manure
muskmelon,64.5,28.6,34.9,6.6,DAP,85.2,2300.4,Neem Cake
mungbean,46.4,51.6,89.3,6.96,Urea,65.9,428.35,Green Manure
watermelon,56.2,5.8,72.2,5.57,DAP,86.2,2327.4,Poultry Manure
coffee,30.9,52.2,60.5,6.56,Urea,69.9,454.35,Neem Cake
jute,39.4,11.4,44.7,8.13,DAP,118.4,3196.8,Compost + Biofertilizer
orange,62.3,41.2,74.5,7.7,DAP,60.8,1641.6,Neem Cake
pomegranate,41.4,78.6,58.0,6.72,Urea,59.9,389.35,Vermicompost
jute,74.1,83.4,37.0,5.9,MOP,52.0,884.0,Neem Cake
grapes,84.5,49.3,82.2,6.81,DAP,34.1,920.7,Neem Cake
chickpea,64.7,30.9,80.3,5.25,DAP,57.7,1557.9,Vermicompost
watermelon,53.1,39.5,32.5,7.26,MOP,90.7,1541.9,Poultry Manure
muskmelon,101.0,43.5,68.7,5.69,DAP,41.0,1107.0,Green Manure
grapes,112.2,69.6,31.6,7.08,MOP,46.1,783.7,Green Manure
mothbeans,98.8,37.3,17.4,6.19,MOP,78.1,1327.7,Green Manure
mango,53.3,46.1,50.1,5.67,Urea,73.4,477.1,Farmyard Manure (FYM)
blackgram,34.8,36.5,51.6,5.4,Urea,89.6,582.4,Neem Cake
mungbean,55.3,59.8,92.6,6.31,Urea,42.4,275.6,Neem Cake
orange,29.0,45.2,44.3,5.58,Urea,95.9,623.35,Farmyard Manure (FYM)
lentil,45.5,45.2,77.9,5.01,Urea,69.5,451.75,Vermicompost
chickpea,47.5,37.2,41.4,8.01,Urea,88.1,572.65,Neem Cake
lentil,43.9,64.5,68.3,7.39,Urea,54.6,354.9,Neem Cake
watermelon,65.5,13.2,46.1,6.17,DAP,90.3,2438.1,Poultry Manure
pomegranate,75.4,49.2,82.1,5.58,DAP,34.2,923.4,Poultry Manure
mango,9.0,53.9,38.8,6.07,Urea,111.8,726.7,Green Manure
pomegranate,43.8,41.9,72.5,6.86,Urea,74.1,481.65,Green Manure
jute,20.0,37.9,31.5,6.41,Urea,116.4,756.6,Vermicompost
kidneybeans,96.8,58.3,77.5,7.44,NPK 19-19-19,15.4,369.6,Vermicompost
apple,79.3,67.2,53.9,8.0,MOP,29.4,499.8,Vermicompost
pigeonpeas,26.5,47.4,60.0,5.46,Urea,76.8,499.2,Poultry Manure
apple,81.5,99.0,50.2,6.04,MOP,29.9,508.3,Compost + Biofertilizer
maize,76.9,36.0,58.4,5.89,DAP,41.6,1123.2,Vermicompost
mothbeans,93.6,34.2,32.5,5.68,MOP,64.8,1101.6,Compost + Biofertilizer
grapes,73.1,37.6,48.4,6.44,DAP,61.3,1655.1,Vermicompost
banana,50.4,87.6,78.7,7.08,Urea,48.0,312.0,Vermicompost
orange,24.1,67.1,35.4,6.73,Urea,94.3,612.95,Green Manure
blackgram,87.1,55.8,75.3,7.23,NPK 19-19-19,22.0,528.0,Green Manure
lentil,85.3,37.2,41.3,8.05,DAP,57.9,1563.3,Compost + Biofertilizer
coffee,3.6,28.2,62.3,5.73,Urea,119.6,777.4,Farmyard Manure (FYM)
orange,1.2,48.0,42.3,5.17,Urea,120.7,784.55,Farmyard Manure (FYM)
papaya,39.1,35.8,40.5,6.62,Urea,95.4,620.1,Poultry Manure
muskmelon,68.6,34.9,27.6,6.13,MOP,83.9,1426.3,Green Manure
maize,34.8,62.5,56.8,6.04,Urea,58.0,377.0,Neem Cake
mothbeans,0.0,68.0,38.0,5.63,Urea,106.5,692.25,Neem Cake
grapes,85.3,41.2,43.2,5.97,DAP,58.0,1566.0,Compost + Biofertilizer
coconut,31.4,54.9,55.9,5.61,Urea,71.2,462.8,Poultry Manure
mothbeans,72.8,65.3,34.8,5.29,MOP,58.3,991.1,Poultry Manure
orange,57.1,23.0,73.8,5.51,DAP,74.1,2000.7,Compost + Biofertilizer
mango,68.0,49.8,67.0,6.2,Urea,42.6,276.9,Vermicompost
pigeonpeas,70.1,50.7,44.6,5.78,MOP,49.4,839.8,Compost + Biofertilizer
cotton,49.5,43.8,89.2,5.83,Urea,63.8,414.7,Poultry Manure
coffee,76.7,55.8,56.9,6.36,NPK 10-26-26,30.4,699.2,Poultry Manure
mango,49.9,75.9,40.1,5.78,Urea,66.8,434.2,Farmyard Manure (FYM)
banana,63.8,61.9,47.1,6.08,Urea,46.2,300.3,Vermicompost
muskmelon,64.2,48.1,29.0,7.23,MOP,68.4,1162.8,Poultry Manure
mungbean,41.9,43.7,46.9,6.9,Urea,79.3,515.45,Neem Cake
maize,83.3,52.8,89.6,5.65,DAP,18.8,507.6,Poultry Manure
pomegranate,51.2,57.4,30.4,6.25,MOP,77.9,1324.3,Green Manure
maize,79.5,75.1,0.0,6.54,MOP,65.4,1111.8,Green Manure
blackgram,51.7,38.4,79.9,6.53,Urea,62.6,406.9,Farmyard Manure (FYM)
coffee,55.9,41.9,29.5,7.97,MOP,88.7,1507.9,Green Manure
watermelon,53.4,62.1,33.6,6.22,Urea,60.1,390.65,Compost + Biofertilizer
rice,69.3,21.3,11.1,6.92,MOP,115.2,1958.4,Neem Cake
mango,25.0,45.8,72.6,6.16,Urea,85.6,556.4,Compost + Biofertilizer
pigeonpeas,71.3,29.7,29.2,6.78,MOP,75.1,1276.7,Farmyard Manure (FYM)
maize,41.3,0.0,86.0,6.24,DAP,114.0,3078.0,Green Manure
muskmelon,51.1,15.2,30.7,7.06,DAP,110.6,2986.2,Vermicompost
maize,86.3,44.6,51.0,6.59,DAP,38.7,1044.9,Poultry Manure
jute,59.5,67.5,36.7,6.58,MOP,63.9,1086.3,Farmyard Manure (FYM)
watermelon,71.0,40.9,70.4,6.76,DAP,47.1,1271.7,Neem Cake
jute,80.2,57.9,25.2,7.0,MOP,47.6,809.2,Neem Cake
jute,0.1,39.9,82.8,5.37,Urea,106.6,692.9,Green Manure
mothbeans,66.2,60.7,45.2,6.91,MOP,40.1,681.7,Compost + Biofertilizer
muskmelon,88.8,44.9,60.2,6.27,DAP,31.6,853.2,Farmyard Manure (FYM)
grapes,86.9,62.8,65.7,6.04,NPK 10-26-26,18.6,427.8,Neem Cake
apple,71.6,25.7,79.2,5.21,DAP,56.9,1536.3,Compost + Biofertilizer
muskmelon,56.5,48.7,59.6,6.11,Urea,48.3,313.95,Neem Cake
coffee,34.7,59.4,36.0,6.89,Urea,83.9,545.35,Vermicompost
grapes,37.1,0.0,12.9,6.29,DAP,153.5,4144.5,Poultry Manure
chickpea,110.2,0.0,48.2,5.96,DAP,92.5,2497.5,Farmyard Manure (FYM)
kidneybeans,44.4,30.6,47.3,5.64,Urea,85.4,555.1,Poultry Manure
orange,50.9,25.5,7.7,6.41,MOP,115.9,1970.3,Farmyard Manure (FYM)
pomegranate,34.0,63.0,29.0,6.79,Urea,86.8,564.2,Poultry Manure
lentil,32.7,68.6,34.3,6.02,Urea,84.2,547.3,Green Manure
jute,73.8,43.3,63.7,5.83,DAP,50.5,1363.5,Farmyard Manure (FYM)
blackgram,75.1,68.1,66.9,6.72,NPK 19-19-19,22.2,532.8,Compost + Biofertilizer
chickpea,44.7,52.5,54.9,6.49,Urea,59.5,386.75,Vermicompost
mango,79.1,42.6,42.6,5.99,DAP,56.5,1525.5,Poultry Manure
rice,66.9,12.3,61.8,6.97,DAP,78.6,2122.2,Green Manure
coffee,47.0,86.8,50.4,6.95,Urea,63.8,414.7,Farmyard Manure (FYM)
mothbeans,85.8,39.5,68.3,5.31,DAP,35.4,955.8,Vermicompost
pigeonpeas,49.5,34.3,49.6,6.56,Urea,80.8,525.2,Farmyard Manure (FYM)
lentil,56.5,24.6,97.3,6.36,DAP,66.2,1787.4,Vermicompost
orange,69.2,54.8,38.8,7.15,MOP,47.3,804.1,Neem Cake
muskmelon,36.3,56.0,63.9,8.3,Urea,60.7,394.55,Green Manure
jute,128.8,30.6,39.5,6.55,DAP,68.1,1838.7,Vermicompost
maize,38.7,67.8,70.4,7.39,Urea,53.2,345.8,Green Manure
orange,43.8,35.6,22.7,5.58,MOP,106.8,1815.6,Green Manure
papaya,12.1,37.6,67.3,7.83,Urea,108.6,705.9,Poultry Manure
grapes,71.5,22.0,8.1,6.98,MOP,115.1,1956.7,Neem Cake
pomegranate,53.7,28.6,51.1,5.31,DAP,78.8,2127.6,Compost + Biofertilizer
grapes,72.2,46.3,81.9,6.88,DAP,41.4,1117.8,Compost + Biofertilizer
muskmelon,31.1,75.0,42.5,6.68,Urea,83.8,544.7,Vermicompost
pomegranate,79.2,51.9,67.5,5.3,DAP,33.9,915.3,Neem Cake
blackgram,74.9,75.0,17.8,5.66,MOP,62.6,1064.2,Neem Cake
watermelon,67.7,36.8,42.5,6.58,DAP,75.5,2038.5,Compost + Biofertilizer
pigeonpeas,51.0,31.0,66.4,6.36,Urea,69.7,453.05,Neem Cake
mango,39.0,45.2,61.5,7.4,Urea,59.4,386.1,Poultry Manure
blackgram,64.6,56.1,59.0,6.17,Urea,36.9,239.85,Compost + Biofertilizer
papaya,47.8,24.8,70.5,7.43,DAP,79.0,2133.0,Poultry Manure
papaya,71.1,18.4,104.1,5.78,DAP,67.3,1817.1,Vermicompost
rice,98.0,71.1,53.0,4.72,MOP,20.4,346.8,Compost + Biofertilizer
papaya,45.1,18.1,64.4,6.5,DAP,93.6,2527.2,Green Manure
banana,67.6,52.3,20.2,5.89,MOP,64.4,1094.8,Vermicompost
chickpea,65.2,3.6,1.3,5.92,MOP,130.3,2215.1,Compost + Biofertilizer
chickpea,64.2,24.8,78.3,7.07,DAP,66.9,1806.3,Vermicompost
jute,46.0,93.9,64.8,7.21,Urea,52.8,343.2,Green Manure
banana,69.7,19.3,22.8,4.98,DAP,103.2,2786.4,Compost + Biofertilizer
pigeonpeas,91.8,51.1,27.7,6.55,MOP,53.3,906.1,Green Manure
muskmelon,69.0,0.2,61.8,6.57,DAP,83.7,2259.9,Poultry Manure
coconut,73.3,41.9,19.6,6.46,MOP,74.0,1258.0,Vermicompost
coconut,83.8,42.5,21.5,5.63,MOP,75.6,1285.2,Poultry Manure
jute,61.0,25.9,15.8,7.19,MOP,99.1,1684.7,Farmyard Manure (FYM)
maize,26.3,57.9,68.5,6.9,Urea,69.6,452.4,Vermicompost
blackgram,47.1,42.5,16.3,6.54,MOP,100.1,1701.7,Poultry Manure
orange,136.2,37.0,66.7,6.14,DAP,40.1,1082.7,Vermicompost
jute,48.6,24.9,14.3,7.27,MOP,121.9,2072.3,Neem Cake
chickpea,58.4,75.8,28.9,5.57,MOP,65.3,1110.1,Vermicompost
watermelon,58.3,72.6,86.2,5.6,Urea,45.8,297.7,Farmyard Manure (FYM)
banana,61.6,38.9,9.2,5.79,MOP,106.0,1802.0,Poultry Manure
jute,64.3,57.6,74.6,7.07,Urea,31.9,207.35,Neem Cake
coffee,65.9,42.5,29.4,7.92,MOP,70.8,1203.6,Neem Cake
orange,44.0,32.7,50.4,5.96,Urea,88.1,572.65,Compost + Biofertilizer
blackgram,67.7,38.8,30.2,6.3,MOP,81.8,1390.6,Farmyard Manure (FYM)
grapes,83.9,40.0,44.1,6.3,DAP,54.0,1458.0,Vermicompost
kidneybeans,44.5,58.4,11.8,5.56,MOP,102.3,1739.1,Vermicompost
chickpea,39.4,41.9,56.7,7.55,Urea,73.3,476.45,Compost + Biofertilizer
orange,40.0,66.7,55.7,6.99,Urea,55.9,363.35,Farmyard Manure (FYM)
rice,62.9,17.5,40.0,7.47,DAP,94.7,2556.9,Poultry Manure
watermelon,71.5,54.6,78.3,7.29,Urea,25.6,166.4,Compost + Biofertilizer
mothbeans,69.5,55.8,52.6,6.58,Urea,36.9,239.85,Compost + Biofertilizer
kidneybeans,54.5,53.9,0.0,5.94,MOP,99.5,1691.5,Farmyard Manure (FYM)
orange,26.0,83.7,15.4,4.91,Urea,101.4,659.1,Farmyard Manure (FYM)
banana,84.2,52.1,29.0,7.31,MOP,52.7,895.9,Compost + Biofertilizer
grapes,2.5,46.4,32.0,6.9,Urea,126.0,819.0,Poultry Manure
mango,53.3,39.7,59.3,6.29,Urea,61.8,401.7,Farmyard Manure (FYM)
kidneybeans,28.5,51.7,51.4,4.94,Urea,75.1,488.15,Vermicompost
jute,77.8,42.0,67.4,6.36,DAP,34.8,939.6,Green Manure
jute,66.0,85.4,27.3,6.17,MOP,59.4,1009.8,Neem Cake
rice,56.3,83.5,41.2,7.8,Urea,63.4,412.1,Neem Cake
kidneybeans,106.0,26.4,23.1,7.04,MOP,80.2,1363.4,Compost + Biofertilizer
muskmelon,56.9,35.5,58.8,5.81,DAP,64.9,1752.3,Compost + Biofertilizer
banana,29.2,30.8,57.3,6.59,Urea,99.7,648.05,Green Manure
maize,66.6,86.7,29.3,6.24,MOP,60.2,1023.4,Poultry Manure
rice,52.8,38.3,53.4,6.68,Urea,72.6,471.9,Green Manure
chickpea,79.7,27.9,35.5,6.25,DAP,73.5,1984.5,Poultry Manure
pomegranate,37.0,53.8,13.6,5.39,MOP,101.6,1727.2,Compost + Biofertilizer
orange,58.0,41.5,21.0,6.16,MOP,95.4,1621.8,Compost + Biofertilizer
mango,52.8,24.4,52.3,6.62,DAP,82.2,2219.4,Vermicompost
chickpea,65.7,14.0,80.2,5.98,DAP,77.1,2081.7,Farmyard Manure (FYM)
mungbean,82.1,38.1,24.6,5.6,MOP,70.9,1205.3,Neem Cake
papaya,57.2,61.8,0.0,6.38,MOP,100.5,1708.5,Green Manure
apple,49.0,35.4,18.6,5.86,MOP,114.6,1948.2,Neem Cake
mothbeans,82.5,31.2,0.0,6.6,MOP,98.8,1679.6,Neem Cake
pomegranate,49.7,25.5,36.0,6.76,DAP,91.0,2457.0,Green Manure
banana,20.5,42.1,17.7,5.9,Urea,127.9,831.35,Farmyard Manure (FYM)
blackgram,29.1,15.5,61.7,5.99,Urea,108.2,703.3,Compost + Biofertilizer
pomegranate,52.7,61.4,44.4,6.69,Urea,68.1,442.65,Compost + Biofertilizer
lentil,85.3,78.7,8.5,6.17,MOP,62.1,1055.7,Poultry Manure
banana,68.5,38.1,76.9,5.88,DAP,39.6,1069.2,Compost + Biofertilizer
chickpea,100.5,22.0,60.7,5.46,DAP,54.6,1474.2,Neem Cake
orange,48.8,77.0,58.1,7.25,Urea,44.4,288.6,Compost + Biofertilizer
coconut,30.5,56.9,95.6,6.62,Urea,63.1,410.15,Vermicompost
lentil,38.7,29.7,80.2,6.47,Urea,76.8,499.2,Vermicompost
