farmer_id,state,crop,season,land_size_acres,experience_years,irrigation_type,yield_quintal_per_acre,market_price_per_quintal,estimated_revenue_inr
F00032,Karnataka,mothbeans,Kharif,2.91,20,Rain-fed,17.64,1779.34,91337.79
F00938,Uttar Pradesh,rice,Zaid,2.91,14,Drip,27.6,1954.6,156985.65
F04438,Karnataka,cotton,Kharif,3.96,18,Borewell,15.07,2044.82,122029.13
F00753,Rajasthan,orange,Rabi,5.16,21,Borewell,21.63,1053.3,117559.66
F01294,Madhya Pradesh,mango,Kharif,5.24,7,Canal,16.15,1655.86,140128.81
F00310,Haryana,lentil,Kharif,2.52,6,Canal,15.78,2714.21,107932.19
F02664,Madhya Pradesh,chickpea,Zaid,1.73,18,Borewell,11.68,2095.49,42342.31
F05063,Maharashtra,grapes,Zaid,0.38,5,Borewell,15.94,2064.13,12502.85
F03919,Gujarat,watermelon,Rabi,2.89,16,Drip,6.22,2680.59,48185.75
F02288,Madhya Pradesh,chickpea,Kharif,2.31,9,Borewell,33.35,2526.15,194610.81
F00496,Karnataka,watermelon,Rabi,4.03,5,Sprinkler,17.18,2604.2,180302.83
F05060,Tamil Nadu,mothbeans,Zaid,1.78,12,Rain-fed,21.11,1838.26,69074.09
F00206,Maharashtra,watermelon,Rabi,2.58,28,Sprinkler,19.17,2264.34,111991.09
F01136,Tamil Nadu,rice,Zaid,12.4,23,Borewell,15.23,1314.27,248202.52
F04170,Karnataka,orange,Zaid,0.51,35,Canal,17.99,1459.78,13393.34
F03655,Haryana,banana,Zaid,3.61,25,Canal,21.31,1900.81,146227.6
F00702,Rajasthan,lentil,Rabi,0.85,11,Canal,14.52,1480.53,18272.7
F00306,Madhya Pradesh,pigeonpeas,Zaid,3.66,10,Canal,20.84,3126.89,238501.66
F01193,Karnataka,banana,Rabi,2.98,16,Borewell,19.71,1262.57,74158.06
F04111,Tamil Nadu,maize,Zaid,3.8,18,Canal,20.71,1439.56,113290.49
F04195,Gujarat,coconut,Rabi,4.82,7,Rain-fed,21.66,1727.94,180399.01
F01062,Karnataka,cotton,Zaid,9.08,12,Borewell,3.46,3284.79,103197.59
F00844,Maharashtra,mothbeans,Rabi,8.73,30,Sprinkler,14.94,1652.61,215543.64
F02946,Bihar,watermelon,Kharif,4.46,13,Borewell,13.54,2764.2,166925.62
F05134,Tamil Nadu,papaya,Zaid,2.63,22,Sprinkler,23.91,4010.67,252204.16
F00212,Uttar Pradesh,cotton,Zaid,2.46,22,Borewell,16.91,1950.83,81151.8
F01109,West Bengal,chickpea,Zaid,5.34,25,Drip,17.64,1888.62,177903.47
F04523,Tamil Nadu,grapes,Zaid,4.49,12,Sprinkler,19.91,3533.71,315899.19
F00680,Punjab,rice,Zaid,4.67,14,Canal,23.31,2593.72,282346.39
F00566,Bihar,kidneybeans,Kharif,3.11,19,Rain-fed,12.05,3173.76,118938.24
F04634,Andhra Pradesh,banana,Zaid,1.55,10,Drip,17.27,2257.82,60438.45
F03896,Karnataka,orange,Rabi,2.31,19,Drip,14.29,2046.95,67569.61
F00681,Madhya Pradesh,rice,Kharif,3.54,14,Sprinkler,21.47,3691.08,280536.11
F00181,Rajasthan,rice,Zaid,2.73,21,Canal,16.6,2045.78,92710.66
F02888,Punjab,cotton,Kharif,4.31,20,Drip,25.08,2329.82,251841.43
F04217,Maharashtra,maize,Zaid,1.71,0,Rain-fed,16.53,2524.89,71369.3
F04073,Rajasthan,watermelon,Rabi,7.94,8,Canal,14.95,2438.96,289511.87
F04448,Bihar,cotton,Zaid,0.75,14,Canal,19.12,2902.46,41621.28
F00279,Uttar Pradesh,chickpea,Zaid,0.82,12,Borewell,24.63,2971.42,60012.58
F01393,Karnataka,muskmelon,Kharif,7.66,0,Rain-fed,27.39,1717.95,360438.62
F01205,Bihar,coconut,Zaid,5.78,26,Rain-fed,19.03,1748.81,192357.56
F02017,Andhra Pradesh,muskmelon,Rabi,3.23,10,Drip,19.41,1721.97,107957.7
F00433,Maharashtra,cotton,Rabi,1.05,14,Drip,15.56,2107.21,34427.6
F00290,Bihar,lentil,Zaid,4.43,6,Canal,19.43,2520.21,216926.82
F01028,Gujarat,grapes,Zaid,2.09,7,Canal,18.64,2547.9,99260.07
F00536,Bihar,maize,Kharif,2.13,14,Canal,18.23,2949.53,114529.95
F03734,Madhya Pradesh,blackgram,Rabi,2.5,18,Canal,22.17,1892.04,104866.32
F01188,Gujarat,blackgram,Zaid,0.6,21,Sprinkler,13.08,1165.1,9143.7
F00189,Bihar,pomegranate,Zaid,3.7,31,Canal,26.82,1540.25,152845.17
F03474,Punjab,maize,Zaid,3.02,9,Rain-fed,22.2,2062.85,138301.72
F00707,Bihar,watermelon,Rabi,0.79,2,Sprinkler,8.62,2327.49,15849.74
F01770,Madhya Pradesh,coffee,Zaid,5.87,8,Sprinkler,19.93,1713.44,200453.8
F00271,Madhya Pradesh,watermelon,Zaid,4.39,0,Sprinkler,22.29,2272.04,222326.16
F02343,Bihar,apple,Kharif,6.49,5,Sprinkler,18.22,2359.66,279024.6
F04253,Madhya Pradesh,banana,Kharif,0.25,13,Drip,24.69,2669.47,16477.3
F02338,West Bengal,grapes,Rabi,14.47,2,Drip,25.67,1183.41,439571.61
F04021,Tamil Nadu,lentil,Rabi,1.15,5,Borewell,27.88,1199.45,38456.77
F00112,Maharashtra,orange,Zaid,5.49,6,Borewell,27.12,2254.15,335617.69
F01171,Rajasthan,apple,Kharif,1.45,31,Borewell,14.53,2921.17,61544.67
F02125,West Bengal,kidneybeans,Kharif,4.21,12,Sprinkler,12.45,2781.21,145775.73
F00221,West Bengal,coconut,Rabi,7.31,3,Rain-fed,4.11,2224.77,66841.21
F04263,Karnataka,grapes,Zaid,4.28,21,Drip,22.43,2321.64,222878.37
F00628,Andhra Pradesh,muskmelon,Kharif,6.85,7,Drip,5.21,1851.26,66068.69
F03765,Rajasthan,kidneybeans,Rabi,1.56,4,Rain-fed,13.52,3036.28,64038.79
F03654,Gujarat,jute,Rabi,5.46,16,Sprinkler,25.85,2578.29,363902.43
F02768,Uttar Pradesh,apple,Kharif,1.84,17,Drip,11.32,2699.69,56231.3
F00791,Andhra Pradesh,muskmelon,Zaid,2.73,9,Sprinkler,12.58,1892.89,65008.28
F02178,Maharashtra,orange,Kharif,1.09,20,Drip,18.87,1872.13,38506.53
F00462,Rajasthan,rice,Kharif,5.1,28,Sprinkler,15.76,2325.53,186916.8
F04583,Maharashtra,rice,Kharif,2.23,14,Canal,24.5,1966.55,107442.46
F00552,Karnataka,orange,Kharif,4.83,21,Canal,17.18,3025.65,251066.62
F04181,Bihar,watermelon,Rabi,0.62,16,Borewell,13.69,1757.14,14914.25
F02143,Rajasthan,pomegranate,Rabi,2.43,20,Borewell,14.43,2495.22,87494.64
F00199,Uttar Pradesh,mothbeans,Rabi,2.32,5,Rain-fed,19.85,1798.32,82816.23
F02810,West Bengal,rice,Zaid,1.71,8,Drip,11.27,1902.92,36672.5
F03533,Karnataka,lentil,Zaid,6.01,8,Drip,23.34,2931.46,411205.86
F00403,West Bengal,mothbeans,Zaid,2.02,12,Drip,15.27,3197.26,98620.76
F04604,Rajasthan,chickpea,Rabi,1.98,15,Borewell,22.68,2348.31,105454.15
F02314,Haryana,grapes,Kharif,3.35,7,Rain-fed,23.72,2171.18,172526.31
F04958,Andhra Pradesh,lentil,Rabi,0.62,7,Canal,14.3,945.04,8378.72
F03165,Gujarat,orange,Kharif,3.76,23,Drip,13.71,2126.23,109606.31
F04167,Haryana,jute,Rabi,1.6,1,Borewell,19.51,1262.27,39403.02
F04646,Bihar,mungbean,Zaid,0.86,17,Sprinkler,18.99,1063.17,17363.05
F00651,Karnataka,grapes,Kharif,2.82,0,Rain-fed,14.53,1348.64,55259.98
F04716,Karnataka,mungbean,Kharif,2.79,22,Canal,17.35,1052.74,50959.46
F00709,Karnataka,cotton,Zaid,1.21,4,Drip,13.32,1072.07,17278.77
F01752,Madhya Pradesh,lentil,Kharif,6.46,37,Borewell,26.92,2589.15,450261.47
F04596,Madhya Pradesh,mothbeans,Kharif,6.16,11,Sprinkler,18.25,2494.67,280450.8
F02068,Rajasthan,maize,Rabi,0.36,17,Canal,23.33,2904.61,24395.24
F04202,Haryana,mango,Kharif,6.68,9,Rain-fed,32.31,1944.3,419639.82
F02023,Karnataka,rice,Rabi,4.33,11,Canal,23.17,1311.21,131548.59
F02087,Karnataka,pigeonpeas,Rabi,2.02,23,Rain-fed,18.53,3162.59,118377.64
F02046,Madhya Pradesh,rice,Rabi,2.16,32,Drip,10.03,2008.3,43509.42
F00315,Punjab,muskmelon,Kharif,2.87,19,Canal,30.44,2203.64,192516.16
F04141,Andhra Pradesh,coffee,Kharif,3.72,0,Drip,21.21,3288.53,259468.96
F01584,Bihar,pomegranate,Zaid,2.62,17,Drip,7.5,525.17,10319.59
F04658,Tamil Nadu,maize,Kharif,3.4,0,Sprinkler,12.73,2024.46,87622.68
F00114,Bihar,coffee,Kharif,6.54,5,Borewell,19.06,2423.44,302087.61
F00961,Madhya Pradesh,lentil,Kharif,1.47,20,Drip,13.37,2418.66,47536.1
F03861,Tamil Nadu,maize,Zaid,1.16,19,Drip,20.16,1840.96,43051.95
F02451,Rajasthan,chickpea,Kharif,0.5,18,Rain-fed,16.57,3009.47,24933.46
F02101,Madhya Pradesh,pomegranate,Rabi,4.62,12,Rain-fed,16.16,1581.27,118056.35
F03615,Uttar Pradesh,lentil,Rabi,3.14,25,Drip,19.35,3408.31,207085.51
F05200,Tamil Nadu,lentil,Kharif,3.84,23,Drip,25.96,2728.64,272008.3
F02380,Karnataka,mothbeans,Rabi,2.88,22,Sprinkler,26.78,2367.11,182566.67
F03476,Punjab,kidneybeans,Zaid,2.84,9,Drip,24.25,2315.43,159463.66
F03427,West Bengal,apple,Zaid,0.49,2,Borewell,20.41,1905.18,19053.51
F03718,Madhya Pradesh,grapes,Rabi,2.73,18,Rain-fed,23.2,2066.86,130906.64
F04712,Maharashtra,jute,Rabi,0.43,0,Rain-fed,19.53,1978.41,16614.49
F03293,Maharashtra,papaya,Zaid,7.2,0,Borewell,22.32,2867.89,460881.39
F03300,Punjab,mango,Kharif,0.7,14,Borewell,15.19,1905.81,20264.48
F02229,Bihar,apple,Rabi,2.83,10,Canal,21.65,2062.64,126376.92
F00327,Uttar Pradesh,pigeonpeas,Zaid,1.41,15,Canal,20.44,1768.7,50974.64
F00605,Andhra Pradesh,rice,Zaid,2.04,35,Drip,10.37,2590.37,54798.76
F04362,Haryana,kidneybeans,Zaid,1.52,9,Rain-fed,23.32,1090.31,38647.56
F04254,Madhya Pradesh,mango,Kharif,1.44,3,Borewell,15.4,1492.91,33106.77
F03410,Haryana,chickpea,Zaid,1.02,15,Sprinkler,24.02,1117.87,27388.26
F04511,Gujarat,mothbeans,Rabi,2.0,9,Sprinkler,24.91,2641.01,131575.12
F02858,Uttar Pradesh,rice,Zaid,0.47,23,Rain-fed,17.13,3226.49,25976.79
F01746,Andhra Pradesh,grapes,Rabi,1.66,13,Canal,28.19,1423.95,66634.31
F04605,Karnataka,pigeonpeas,Rabi,1.16,12,Sprinkler,9.39,2412.49,26277.81
F03106,Punjab,chickpea,Zaid,2.87,20,Drip,16.29,2732.48,127749.72
F02332,Maharashtra,jute,Zaid,4.71,10,Drip,18.46,2878.93,250313.18
F03618,Karnataka,banana,Rabi,2.87,11,Canal,14.36,1946.76,80232.21
F01633,Tamil Nadu,pomegranate,Zaid,5.32,0,Sprinkler,20.4,3566.46,387060.77
F01979,Uttar Pradesh,kidneybeans,Zaid,0.25,15,Sprinkler,14.86,3420.02,12705.37
F01880,Bihar,watermelon,Zaid,0.47,16,Borewell,27.25,2304.78,29518.47
F00790,Uttar Pradesh,mungbean,Zaid,1.94,14,Sprinkler,29.15,2408.25,136188.95
F02460,Rajasthan,papaya,Kharif,1.34,19,Rain-fed,29.24,1217.12,47688.71
F04630,Madhya Pradesh,rice,Zaid,1.3,14,Drip,19.91,2539.46,65728.84
F02827,Haryana,kidneybeans,Zaid,2.35,0,Sprinkler,18.35,2560.13,110399.21
F00872,Maharashtra,jute,Rabi,4.61,13,Drip,12.57,2788.58,161591.8
F02928,Bihar,pigeonpeas,Kharif,6.64,17,Borewell,5.37,1964.15,70035.3
F04245,Uttar Pradesh,mungbean,Zaid,2.57,1,Canal,27.21,1807.83,126421.01
F04197,Andhra Pradesh,lentil,Rabi,0.97,23,Borewell,8.76,2664.2,22638.24
F01514,Uttar Pradesh,coffee,Zaid,2.19,17,Rain-fed,18.03,2181.93,86155.03
F00074,Madhya Pradesh,apple,Kharif,2.34,23,Rain-fed,15.53,2105.44,76512.11
F02026,Rajasthan,cotton,Zaid,3.79,0,Borewell,18.23,2286.0,157943.63
F01908,West Bengal,grapes,Rabi,1.39,29,Borewell,10.67,2015.42,29891.3
F01537,Gujarat,kidneybeans,Kharif,3.13,16,Canal,17.79,2421.09,134812.83
F03275,Punjab,jute,Rabi,1.42,15,Drip,15.72,1729.77,38612.62
F00093,Uttar Pradesh,lentil,Rabi,1.82,17,Rain-fed,18.56,2057.57,69503.07
F04759,Punjab,coffee,Kharif,3.19,21,Canal,13.51,1933.17,83313.63
F04117,Maharashtra,maize,Rabi,1.75,17,Canal,10.97,1910.84,36683.35
F03619,Uttar Pradesh,maize,Kharif,3.28,14,Drip,21.86,2110.37,151315.22
F03134,Maharashtra,grapes,Kharif,1.54,16,Borewell,21.77,2051.41,68775.16
F03738,Bihar,maize,Kharif,3.79,12,Drip,13.42,2152.01,109455.1
F00495,Andhra Pradesh,muskmelon,Zaid,2.25,28,Canal,12.38,1647.46,45890.0
F03409,Maharashtra,cotton,Rabi,3.84,27,Canal,5.12,1874.87,36861.44
F02374,Punjab,jute,Rabi,1.75,2,Rain-fed,22.31,2418.2,94412.57
F01452,Punjab,lentil,Zaid,3.27,26,Rain-fed,16.18,2978.51,157588.79
F01165,Madhya Pradesh,watermelon,Kharif,3.58,5,Borewell,11.95,2475.53,105905.65
F01721,Haryana,lentil,Kharif,4.28,10,Sprinkler,24.27,2201.12,228642.66
F01271,Andhra Pradesh,pomegranate,Zaid,2.21,22,Canal,15.67,2756.91,95473.72
F03681,Andhra Pradesh,pomegranate,Rabi,2.27,3,Sprinkler,18.99,3325.1,143336.08
F02304,Tamil Nadu,apple,Zaid,1.12,28,Canal,15.48,2297.46,39832.44
F02593,Karnataka,chickpea,Zaid,8.04,19,Canal,16.04,2077.48,267915.14
F02243,Haryana,cotton,Rabi,3.66,9,Sprinkler,17.64,1458.47,94162.32
F00619,Madhya Pradesh,pomegranate,Rabi,2.45,2,Rain-fed,10.64,3128.47,81552.96
F04020,Andhra Pradesh,kidneybeans,Kharif,2.63,14,Sprinkler,15.13,1287.88,51247.19
F01963,West Bengal,jute,Rabi,1.33,14,Borewell,24.1,1938.67,62140.19
F03713,Karnataka,jute,Kharif,3.05,2,Sprinkler,6.5,1920.64,38076.69
F05042,Rajasthan,apple,Rabi,7.55,15,Sprinkler,22.34,1816.19,306331.32
F01401,Maharashtra,coffee,Kharif,0.25,13,Drip,20.55,3221.88,16552.41
F01742,Karnataka,jute,Zaid,3.33,0,Drip,8.27,4083.42,112453.71
F02246,Uttar Pradesh,maize,Zaid,2.09,16,Canal,23.47,737.01,36152.04
F04396,Uttar Pradesh,maize,Zaid,4.64,32,Borewell,21.04,2404.77,234767.11
F00870,Rajasthan,pomegranate,Rabi,3.32,20,Borewell,23.66,2152.76,169101.88
F04871,Tamil Nadu,blackgram,Rabi,3.34,7,Borewell,12.71,1933.17,82065.77
F01043,Bihar,rice,Kharif,3.18,17,Rain-fed,4.56,2335.16,33861.69
F03754,Bihar,grapes,Rabi,2.64,0,Sprinkler,11.64,2465.46,75762.6
F00357,Rajasthan,pigeonpeas,Zaid,5.7,18,Sprinkler,12.2,2508.95,174472.38
F01163,Tamil Nadu,pomegranate,Kharif,1.88,29,Borewell,29.23,4541.65,249574.57
F03923,Rajasthan,banana,Kharif,2.08,7,Drip,32.63,2485.09,168664.05
F04343,Bihar,apple,Rabi,0.87,8,Borewell,19.92,2885.78,50011.72
F01993,Gujarat,watermelon,Rabi,1.87,8,Rain-fed,14.42,2460.1,66337.58
F03448,Rajasthan,watermelon,Zaid,0.25,12,Drip,14.15,2371.68,8389.82
F02084,Karnataka,grapes,Rabi,2.84,17,Rain-fed,19.84,1555.14,87625.3
F03383,Bihar,kidneybeans,Kharif,8.38,22,Sprinkler,12.48,1995.34,208677.45
F03882,Punjab,pigeonpeas,Rabi,4.1,16,Drip,30.22,3821.1,473441.93
F03859,Bihar,papaya,Rabi,4.45,10,Sprinkler,2.09,2822.75,26252.99
F03962,Maharashtra,mungbean,Kharif,6.67,3,Drip,16.83,1028.96,115507.04
F01439,Tamil Nadu,lentil,Rabi,6.22,12,Sprinkler,19.26,1937.18,232068.74
F05197,Bihar,coffee,Rabi,5.05,10,Borewell,20.42,1374.09,141697.53
F00333,Bihar,grapes,Kharif,3.29,30,Rain-fed,26.1,2500.22,214691.39
F01488,Punjab,coffee,Kharif,1.65,0,Borewell,20.36,2607.33,87590.64
F03956,Punjab,coconut,Rabi,8.72,9,Canal,14.48,2959.18,373642.64
F01850,Haryana,kidneybeans,Kharif,4.91,16,Drip,26.84,1781.62,234789.72
F01259,Uttar Pradesh,banana,Zaid,2.95,12,Drip,20.19,2879.85,171525.31
F04048,Uttar Pradesh,watermelon,Rabi,2.17,0,Sprinkler,19.97,2571.71,111444.8
F05023,Maharashtra,kidneybeans,Kharif,0.36,18,Sprinkler,8.41,2215.89,6708.83
F01117,Rajasthan,cotton,Kharif,1.81,0,Borewell,20.6,2198.0,81954.63
F04915,West Bengal,orange,Zaid,4.71,15,Sprinkler,11.66,1969.93,108185.8
F03868,West Bengal,lentil,Kharif,6.37,16,Sprinkler,16.28,2853.98,295968.0
F05097,Gujarat,papaya,Zaid,0.7,8,Canal,10.07,1598.36,11266.84
F02679,Tamil Nadu,apple,Zaid,5.13,14,Sprinkler,16.99,2980.85,259807.01
F03686,Rajasthan,grapes,Rabi,4.25,19,Canal,26.37,2839.38,318216.42
F04105,Bihar,rice,Zaid,3.14,15,Drip,17.09,2683.14,143984.27
F00446,Gujarat,lentil,Zaid,0.85,10,Sprinkler,17.3,1683.96,24762.63
F02437,Uttar Pradesh,coconut,Kharif,1.24,8,Rain-fed,28.33,2704.96,95023.08
F05046,Haryana,pomegranate,Kharif,0.47,8,Drip,17.02,2419.43,19353.99
F01414,Andhra Pradesh,chickpea,Kharif,0.31,25,Borewell,21.38,2180.37,14451.06
F00453,Uttar Pradesh,grapes,Kharif,1.74,2,Rain-fed,6.45,2292.59,25729.74
F01895,Madhya Pradesh,coconut,Zaid,3.52,18,Canal,26.75,3014.68,283862.27
F04617,Maharashtra,pomegranate,Zaid,1.48,19,Canal,13.08,3395.94,65739.96
F03209,Karnataka,lentil,Rabi,5.16,16,Drip,16.56,2595.03,221744.28
F00015,Andhra Pradesh,lentil,Rabi,4.99,0,Rain-fed,2.93,1815.94,26550.31
F02848,Karnataka,papaya,Zaid,4.91,12,Canal,24.3,2172.88,259252.83
F00946,Uttar Pradesh,mothbeans,Rabi,4.05,19,Borewell,14.33,3660.77,212458.28
F00248,Gujarat,pomegranate,Rabi,3.94,17,Borewell,18.69,2168.93,159716.97
F04264,Tamil Nadu,pigeonpeas,Kharif,0.85,17,Sprinkler,22.19,1922.12,36254.07
F00361,West Bengal,watermelon,Zaid,7.37,22,Rain-fed,23.24,2610.55,447131.87
F04845,Bihar,rice,Zaid,5.6,12,Rain-fed,11.63,2420.54,157644.93
F03803,West Bengal,blackgram,Kharif,2.33,11,Drip,27.75,3086.1,199539.51
F03722,Uttar Pradesh,cotton,Zaid,3.59,14,Borewell,14.6,1575.08,82556.24
F02500,Andhra Pradesh,mungbean,Rabi,0.72,1,Canal,11.54,2619.82,21767.56
F01808,West Bengal,mothbeans,Kharif,3.94,9,Rain-fed,19.87,2246.98,175911.12
F04446,Bihar,blackgram,Rabi,7.08,27,Borewell,14.14,2216.5,221896.47
F02054,Bihar,grapes,Kharif,8.44,11,Drip,17.0,2385.63,342290.19
F03800,Tamil Nadu,banana,Zaid,1.91,5,Rain-fed,19.15,1569.65,57412.3
F01534,West Bengal,lentil,Kharif,1.1,3,Rain-fed,18.76,1907.56,39364.41
F05082,Tamil Nadu,watermelon,Zaid,4.67,25,Canal,23.69,3253.07,359894.62
F03097,Tamil Nadu,mungbean,Zaid,1.07,23,Canal,30.42,2121.37,69049.32
F00491,Karnataka,chickpea,Zaid,0.59,6,Borewell,10.35,2895.7,17682.59
F03733,Andhra Pradesh,pigeonpeas,Zaid,1.79,19,Sprinkler,19.23,2289.59,78811.58
F00863,Punjab,mungbean,Kharif,0.63,10,Drip,21.94,1361.53,18819.34
F02481,Rajasthan,pigeonpeas,Kharif,3.9,11,Drip,17.53,1319.8,90230.77
F03795,Madhya Pradesh,rice,Zaid,2.78,14,Sprinkler,11.04,624.23,19158.37
F01384,Punjab,pomegranate,Rabi,3.59,14,Drip,14.79,1898.92,100825.25
F02112,Madhya Pradesh,blackgram,Kharif,0.36,13,Sprinkler,22.96,2042.01,16878.44
F02656,Madhya Pradesh,pigeonpeas,Zaid,2.94,15,Sprinkler,19.66,1478.41,85452.69
F01894,Andhra Pradesh,mothbeans,Kharif,2.21,7,Canal,11.6,1869.22,47919.32
F01363,West Bengal,jute,Rabi,1.26,22,Sprinkler,17.61,3195.1,70894.8
F03482,Rajasthan,mungbean,Zaid,3.21,0,Drip,24.05,1875.0,144750.94
F00507,Madhya Pradesh,pomegranate,Kharif,8.26,24,Drip,8.49,1910.11,133951.05
F01418,Tamil Nadu,cotton,Rabi,4.42,8,Canal,11.58,2615.79,133885.55
F02906,Tamil Nadu,lentil,Zaid,0.82,29,Canal,5.75,1610.17,7591.95
F00026,Bihar,lentil,Kharif,2.85,8,Borewell,14.23,742.83,30125.84
F02158,Madhya Pradesh,coffee,Zaid,1.59,11,Canal,27.99,1979.02,88074.5
F01223,West Bengal,chickpea,Rabi,5.71,11,Canal,19.03,3157.25,343070.89
F01114,Rajasthan,chickpea,Zaid,4.53,9,Canal,15.01,2274.68,154667.55
F04462,Bihar,maize,Rabi,7.77,14,Sprinkler,23.4,3763.61,684292.04
F04060,Tamil Nadu,blackgram,Zaid,1.81,13,Canal,20.11,2691.42,97965.27
F01551,Bihar,cotton,Zaid,1.81,20,Canal,22.18,2637.87,105899.4
F04862,Bihar,coconut,Rabi,4.13,18,Canal,10.92,2361.03,106481.51
F04064,Maharashtra,banana,Kharif,5.53,8,Drip,22.37,3342.89,413535.88
F00434,Punjab,lentil,Zaid,0.52,16,Drip,7.71,2236.52,8966.66
F03951,Uttar Pradesh,coffee,Kharif,5.46,19,Drip,18.51,1627.99,164532.16
F03435,Punjab,watermelon,Rabi,2.45,17,Sprinkler,25.76,3453.99,217988.22
F03078,Karnataka,cotton,Rabi,0.72,0,Canal,26.11,1518.35,28543.77
F04082,Bihar,apple,Rabi,0.49,25,Borewell,20.99,3284.59,33782.34
F01748,Uttar Pradesh,orange,Kharif,2.33,1,Rain-fed,11.9,1993.02,55260.47
F03443,Uttar Pradesh,watermelon,Rabi,2.9,13,Rain-fed,18.93,2867.52,157418.25
F02971,Haryana,lentil,Kharif,2.93,13,Drip,17.74,2066.1,107392.16
F01613,Maharashtra,orange,Zaid,1.76,22,Borewell,27.02,2092.71,99519.24
F03167,Bihar,coconut,Zaid,4.0,5,Canal,25.13,2279.59,229144.39
F01103,Tamil Nadu,lentil,Kharif,3.08,13,Sprinkler,18.7,1628.3,93783.57
F02237,Bihar,coconut,Rabi,4.64,34,Borewell,16.97,594.07,46777.55
F04580,Punjab,chickpea,Zaid,4.8,8,Canal,13.22,3244.86,205905.84
F02317,Karnataka,coconut,Kharif,3.43,15,Sprinkler,23.43,2462.77,197920.26
F04663,Uttar Pradesh,maize,Zaid,6.8,19,Sprinkler,11.83,1449.35,116591.51
F00157,Karnataka,banana,Zaid,3.58,4,Sprinkler,14.5,2309.11,119865.9
F04684,Tamil Nadu,maize,Rabi,1.34,16,Canal,29.26,2198.72,86208.29
F00195,Maharashtra,coffee,Kharif,2.33,1,Canal,12.94,1896.85,57190.41
F00616,Gujarat,blackgram,Kharif,7.95,18,Drip,11.68,3192.02,296398.21
F00644,Tamil Nadu,banana,Kharif,2.52,18,Drip,17.69,2007.11,89474.56
F01659,Andhra Pradesh,papaya,Kharif,0.46,22,Drip,29.73,3182.21,43519.27
F01892,Punjab,rice,Kharif,1.37,0,Canal,24.3,1139.66,37940.42
F01069,Maharashtra,apple,Zaid,2.71,7,Drip,18.57,739.11,37195.49
F01676,Andhra Pradesh,coffee,Kharif,5.28,20,Rain-fed,7.86,3036.42,126013.86
F03575,Tamil Nadu,muskmelon,Kharif,0.7,12,Canal,14.66,2737.11,28088.22
F04955,Haryana,cotton,Zaid,2.36,3,Drip,22.75,500.0,26845.0
F04412,Punjab,lentil,Zaid,3.17,6,Sprinkler,12.03,2835.09,108116.44
F01747,Rajasthan,banana,Kharif,1.86,26,Canal,14.46,2905.87,78155.12
F00331,Tamil Nadu,orange,Rabi,1.07,0,Borewell,10.47,1924.04,21554.83
F03520,Punjab,watermelon,Kharif,1.78,13,Drip,25.36,1011.84,45675.27
F04598,Karnataka,orange,Rabi,2.67,27,Sprinkler,11.27,2317.69,69741.38
F02729,Andhra Pradesh,lentil,Rabi,1.12,8,Drip,25.7,3986.91,114759.22
F00623,Tamil Nadu,pigeonpeas,Kharif,5.77,13,Sprinkler,12.9,2389.46,177854.68
F01973,Bihar,apple,Zaid,6.35,14,Drip,19.09,3813.86,462321.83
F02523,Tamil Nadu,grapes,Zaid,1.38,12,Borewell,12.24,2257.44,38130.87
F03723,Rajasthan,blackgram,Rabi,1.34,5,Drip,21.85,3010.34,88139.74
F03151,Uttar Pradesh,apple,Rabi,2.46,19,Drip,12.01,2413.86,71316.53
F02139,Uttar Pradesh,mothbeans,Rabi,3.66,23,Drip,26.41,2341.17,226298.9
F04506,Gujarat,chickpea,Rabi,0.97,7,Rain-fed,14.48,2117.41,29740.29
F04944,Bihar,blackgram,Kharif,5.67,17,Sprinkler,13.26,1228.86,92390.86
F00756,Tamil Nadu,watermelon,Zaid,4.21,13,Borewell,5.29,2717.23,60515.16
F00519,Haryana,apple,Rabi,3.39,20,Sprinkler,18.09,3655.75,224189.23
F04458,Uttar Pradesh,maize,Rabi,0.54,8,Sprinkler,16.7,1608.72,14507.44
F00033,Madhya Pradesh,pigeonpeas,Kharif,1.31,10,Rain-fed,24.97,2602.44,85127.63
F03432,Bihar,rice,Rabi,5.1,8,Borewell,7.71,852.11,33505.82
F02747,Tamil Nadu,banana,Zaid,5.89,20,Canal,27.94,500.0,82283.3
F01158,Gujarat,jute,Kharif,3.78,11,Canal,11.32,1788.78,76541.18
F01648,Madhya Pradesh,maize,Kharif,4.69,15,Sprinkler,23.43,2146.63,235886.09
F00745,West Bengal,watermelon,Zaid,0.25,17,Sprinkler,9.27,3119.8,7230.14
F01607,West Bengal,cotton,Kharif,0.25,17,Borewell,31.91,2873.41,22922.63
F04089,Uttar Pradesh,jute,Rabi,0.78,9,Rain-fed,10.64,1387.16,11512.32
F04865,Haryana,mothbeans,Rabi,3.3,26,Borewell,18.39,3313.15,201065.13
F02861,Bihar,mothbeans,Kharif,0.59,17,Canal,18.76,1685.45,18655.23
F00784,Madhya Pradesh,mango,Zaid,1.25,1,Borewell,25.15,2230.75,70129.2
F02283,Uttar Pradesh,pomegranate,Kharif,8.87,11,Borewell,16.38,1844.39,267972.53
F02891,Maharashtra,mungbean,Rabi,3.48,8,Borewell,7.94,3211.39,88734.56
F00230,Madhya Pradesh,mungbean,Zaid,2.75,2,Canal,12.77,2666.99,93658.02
