crop,temperature,humidity,rainfall,leaf_wetness_hours,risk_score,risk_level,disease_name
kidneybeans,32.54,67.57,153.05,0.62,0.446,Medium,Angular Leaf Spot
lentil,27.47,87.23,134.2,0.3,0.605,Medium,Rust
cotton,15.17,86.95,205.49,9.1,0.627,Medium,Bacterial Blight
orange,35.51,88.64,72.96,9.37,0.483,Medium,Greening (HLB)
mungbean,18.76,54.39,76.79,15.18,0.553,Medium,Cercospora Leaf Spot
cotton,28.28,80.86,113.68,13.68,0.721,High,Leaf Curl Virus
kidneybeans,31.52,90.47,195.51,11.02,0.681,High,Angular Leaf Spot
jute,27.55,88.32,282.12,2.75,0.714,High,Stem Rot
blackgram,24.91,59.97,68.13,10.92,0.5,Medium,Yellow Mosaic Virus
jute,27.05,64.21,161.14,12.01,0.616,Medium,Stem Rot
grapes,28.11,78.2,67.21,9.72,0.629,Medium,Powdery Mildew
mango,20.61,72.05,264.29,2.54,0.497,Medium,Anthracnose
lentil,31.03,71.4,63.25,3.48,0.476,Medium,Rust
mothbeans,22.52,76.49,102.45,5.14,0.455,Medium,Yellow Mosaic Virus
watermelon,29.19,92.53,186.21,5.13,0.621,Medium,Fusarium Wilt
coffee,33.24,85.1,60.59,5.03,0.449,Medium,Coffee Leaf Rust
pomegranate,22.27,88.32,51.26,2.22,0.488,Medium,Bacterial Blight
coconut,23.97,74.84,216.48,6.25,0.481,Medium,Leaf Blight
mungbean,17.56,75.97,145.38,8.47,0.443,Medium,Yellow Mosaic Virus
coffee,29.2,74.99,168.7,6.65,0.49,Medium,Berry Disease
mango,31.45,79.23,224.92,6.07,0.665,High,Anthracnose
coconut,26.77,62.68,53.52,14.23,0.63,Medium,Leaf Blight
mungbean,23.98,61.18,225.16,5.76,0.529,Medium,Yellow Mosaic Virus
mothbeans,24.6,75.66,226.68,5.24,0.651,High,Powdery Mildew
coconut,32.45,77.85,185.13,4.23,0.541,Medium,Bud Rot
watermelon,27.42,62.37,28.07,5.63,0.392,Medium,Fusarium Wilt
papaya,21.51,74.59,50.28,4.52,0.428,Medium,Papaya Ring Spot Virus
jute,29.02,97.54,154.08,5.74,0.659,High,Anthracnose
coffee,19.63,82.42,226.83,17.58,0.68,High,Coffee Leaf Rust
pigeonpeas,24.25,61.7,71.29,8.92,0.458,Medium,Fusarium Wilt
lentil,30.86,70.81,23.14,10.17,0.427,Medium,Rust
apple,27.77,91.83,148.65,10.59,0.652,High,Fire Blight
mungbean,19.24,72.37,313.0,5.74,0.501,Medium,Yellow Mosaic Virus
mungbean,30.34,83.69,115.11,13.08,0.686,High,Cercospora Leaf Spot
coffee,28.5,67.92,184.29,4.9,0.462,Medium,Coffee Leaf Rust
maize,17.45,59.65,39.47,6.54,0.477,Medium,Maize Leaf Blight
watermelon,28.22,60.14,44.7,10.04,0.513,Medium,Anthracnose
grapes,36.83,78.31,61.16,1.61,0.379,Medium,Downy Mildew
jute,24.13,66.2,204.84,15.37,0.692,High,Stem Rot
banana,20.59,100.0,24.72,0.0,0.475,Medium,Sigatoka Leaf Spot
muskmelon,29.4,74.98,94.8,16.05,0.674,High,Downy Mildew
pomegranate,18.6,75.9,132.78,8.59,0.616,Medium,Fruit Rot
coconut,42.25,87.22,400.0,9.0,0.621,Medium,Bud Rot
apple,27.3,84.78,238.9,8.12,0.611,Medium,Fire Blight
coconut,21.23,63.81,25.58,4.51,0.474,Medium,Leaf Blight
mungbean,24.82,77.27,90.83,3.48,0.392,Medium,Yellow Mosaic Virus
kidneybeans,21.82,80.79,59.94,6.85,0.586,Medium,Bean Rust
maize,27.04,72.55,23.85,0.0,0.448,Medium,Gray Leaf Spot
kidneybeans,30.59,87.09,61.95,11.71,0.554,Medium,Bean Rust
chickpea,17.82,65.51,196.87,12.47,0.658,High,Fusarium Wilt
maize,31.54,76.52,0.91,15.54,0.56,Medium,Common Rust
coffee,22.94,81.11,13.19,8.53,0.508,Medium,Coffee Leaf Rust
papaya,20.38,72.61,47.65,11.67,0.522,Medium,Powdery Mildew
mungbean,30.01,74.86,80.28,6.24,0.447,Medium,Cercospora Leaf Spot
maize,32.14,74.36,97.64,8.48,0.552,Medium,Common Rust
coffee,28.39,78.87,92.91,10.58,0.488,Medium,Coffee Leaf Rust
kidneybeans,25.65,80.26,128.87,2.68,0.529,Medium,Bean Rust
rice,21.12,64.95,119.37,3.11,0.456,Medium,Sheath Blight
kidneybeans,26.6,74.28,400.0,8.92,0.75,High,Angular Leaf Spot
coconut,24.07,68.53,26.3,6.5,0.474,Medium,Leaf Blight
grapes,29.59,89.41,167.75,15.7,0.779,High,Downy Mildew
muskmelon,29.87,57.39,84.57,10.72,0.483,Medium,Downy Mildew
rice,29.23,69.54,113.97,8.64,0.54,Medium,Rice Blast
mungbean,24.55,58.98,143.28,3.17,0.479,Medium,Yellow Mosaic Virus
chickpea,30.59,60.72,143.02,10.9,0.59,Medium,Fusarium Wilt
papaya,28.03,85.74,58.19,12.71,0.667,High,Papaya Ring Spot Virus
rice,23.19,76.78,131.13,2.72,0.54,Medium,Sheath Blight
apple,29.01,81.62,127.83,13.22,0.639,Medium,Fire Blight
maize,26.18,68.03,7.01,7.55,0.431,Medium,Maize Leaf Blight
banana,32.25,68.04,151.41,11.43,0.568,Medium,Panama Wilt
cotton,24.87,83.97,228.54,15.1,0.78,High,Bacterial Blight
lentil,26.36,91.91,50.79,7.8,0.646,Medium,Rust
mothbeans,21.78,62.03,170.37,10.29,0.557,Medium,Powdery Mildew
papaya,31.02,64.09,67.76,2.92,0.378,Medium,Powdery Mildew
mothbeans,31.05,68.55,16.27,12.92,0.474,Medium,Yellow Mosaic Virus
grapes,27.1,100.0,201.9,3.28,0.581,Medium,Powdery Mildew
jute,27.09,71.46,185.31,2.46,0.482,Medium,Anthracnose
cotton,25.27,89.07,59.07,14.78,0.599,Medium,Leaf Curl Virus
coconut,33.22,77.26,19.22,7.37,0.375,Medium,Bud Rot
coconut,35.26,63.95,24.21,10.18,0.529,Medium,Leaf Blight
muskmelon,25.67,83.69,70.65,7.69,0.697,High,Powdery Mildew
coffee,17.42,67.55,37.34,1.47,0.321,Low,Healthy
muskmelon,29.73,72.54,248.26,5.74,0.613,Medium,Downy Mildew
muskmelon,27.84,47.41,77.19,5.11,0.36,Medium,Powdery Mildew
jute,23.17,79.07,178.66,7.33,0.575,Medium,Anthracnose
coconut,20.53,69.48,55.92,12.73,0.495,Medium,Bud Rot
pomegranate,19.86,75.3,45.33,4.44,0.466,Medium,Bacterial Blight
orange,18.51,82.01,51.57,9.47,0.531,Medium,Greening (HLB)
blackgram,21.07,71.73,30.27,6.15,0.469,Medium,Leaf Crinkle
muskmelon,26.52,78.34,40.72,11.56,0.602,Medium,Powdery Mildew
orange,23.53,62.98,76.57,3.0,0.416,Medium,Greening (HLB)
rice,36.76,99.92,105.47,12.3,0.61,Medium,Bacterial Leaf Blight
papaya,24.3,86.81,13.18,12.35,0.625,Medium,Papaya Ring Spot Virus
banana,24.3,79.68,93.96,10.24,0.611,Medium,Sigatoka Leaf Spot
chickpea,28.25,75.79,68.17,2.93,0.477,Medium,Fusarium Wilt
papaya,21.45,88.06,101.62,3.14,0.526,Medium,Powdery Mildew
coffee,34.71,83.72,97.12,14.09,0.622,Medium,Berry Disease
banana,37.09,78.59,35.56,12.09,0.411,Medium,Sigatoka Leaf Spot
muskmelon,26.56,88.93,119.95,9.44,0.744,High,Powdery Mildew
rice,25.99,79.51,23.44,4.96,0.468,Medium,Sheath Blight
papaya,24.59,92.98,57.99,9.46,0.554,Medium,Papaya Ring Spot Virus
muskmelon,29.32,46.96,22.61,8.2,0.365,Medium,Powdery Mildew
maize,27.45,82.26,209.26,6.18,0.639,Medium,Gray Leaf Spot
coffee,25.31,87.11,101.12,3.6,0.437,Medium,Berry Disease
apple,27.89,43.26,76.08,10.78,0.514,Medium,Apple Scab
mango,23.42,67.98,400.0,9.11,0.694,High,Powdery Mildew
mango,27.66,82.64,279.04,5.82,0.637,Medium,Powdery Mildew
maize,31.02,76.48,61.1,13.74,0.625,Medium,Maize Leaf Blight
kidneybeans,35.11,74.9,68.82,11.2,0.557,Medium,Angular Leaf Spot
jute,26.98,86.28,106.25,3.92,0.495,Medium,Stem Rot
mungbean,16.34,70.4,220.66,7.34,0.591,Medium,Cercospora Leaf Spot
mango,28.99,76.71,113.74,0.0,0.475,Medium,Powdery Mildew
jute,18.87,73.97,68.55,7.06,0.545,Medium,Stem Rot
cotton,28.86,71.84,99.83,5.27,0.504,Medium,Leaf Curl Virus
pigeonpeas,20.49,72.65,41.9,6.39,0.44,Medium,Fusarium Wilt
papaya,29.16,68.84,139.28,2.38,0.456,Medium,Papaya Ring Spot Virus
grapes,24.01,76.69,126.57,6.92,0.5,Medium,Powdery Mildew
papaya,25.09,58.16,20.36,8.89,0.451,Medium,Papaya Ring Spot Virus
mango,29.15,96.34,137.5,10.71,0.636,Medium,Anthracnose
pigeonpeas,30.21,68.3,139.36,7.23,0.526,Medium,Fusarium Wilt
rice,26.58,69.72,214.37,9.44,0.547,Medium,Bacterial Leaf Blight
chickpea,24.67,66.77,274.08,13.08,0.645,Medium,Fusarium Wilt
pigeonpeas,43.47,80.05,26.67,4.36,0.452,Medium,Fusarium Wilt
mothbeans,18.04,69.36,102.16,0.16,0.391,Medium,Yellow Mosaic Virus
jute,22.97,79.34,16.23,10.02,0.468,Medium,Stem Rot
kidneybeans,27.24,71.7,131.22,11.47,0.529,Medium,Angular Leaf Spot
coconut,34.75,84.47,5.42,12.26,0.639,Medium,Bud Rot
papaya,19.77,83.32,171.83,2.96,0.513,Medium,Papaya Ring Spot Virus
coffee,26.42,70.92,139.57,8.19,0.593,Medium,Coffee Leaf Rust
pomegranate,30.29,74.21,60.6,6.43,0.512,Medium,Bacterial Blight
pomegranate,24.22,57.13,212.33,8.29,0.662,High,Fruit Rot
mango,24.05,85.0,103.03,4.1,0.584,Medium,Anthracnose
mango,32.95,64.98,128.11,8.65,0.531,Medium,Powdery Mildew
banana,28.44,81.58,10.5,10.28,0.498,Medium,Sigatoka Leaf Spot
cotton,28.19,100.0,96.86,2.95,0.543,Medium,Bacterial Blight
cotton,20.94,94.44,56.51,9.89,0.627,Medium,Bacterial Blight
rice,27.92,86.55,122.64,10.79,0.65,Medium,Sheath Blight
coconut,28.08,72.48,70.18,6.23,0.579,Medium,Bud Rot
grapes,35.88,72.4,184.19,7.39,0.515,Medium,Powdery Mildew
pomegranate,28.73,94.09,127.38,10.87,0.661,High,Bacterial Blight
coconut,23.03,44.98,68.3,9.8,0.387,Medium,Bud Rot
coffee,25.77,68.25,149.02,12.2,0.634,Medium,Berry Disease
coffee,18.26,99.66,96.03,8.75,0.538,Medium,Berry Disease
jute,27.22,65.67,93.06,3.25,0.481,Medium,Anthracnose
watermelon,24.03,89.29,241.23,7.28,0.785,High,Fusarium Wilt
orange,30.55,89.9,151.87,11.75,0.687,High,Greening (HLB)
chickpea,27.9,100.0,125.19,12.82,0.736,High,Fusarium Wilt
chickpea,28.98,77.5,224.69,8.27,0.7,High,Fusarium Wilt
grapes,19.49,76.79,137.69,9.78,0.615,Medium,Powdery Mildew
watermelon,24.85,86.77,121.25,12.4,0.726,High,Anthracnose
banana,28.94,94.3,18.15,10.71,0.685,High,Sigatoka Leaf Spot
watermelon,35.54,87.77,127.96,6.85,0.612,Medium,Fusarium Wilt
mothbeans,30.25,62.41,162.05,14.04,0.635,Medium,Yellow Mosaic Virus
coconut,29.26,84.89,55.35,12.03,0.541,Medium,Leaf Blight
mungbean,21.95,61.15,104.77,2.29,0.455,Medium,Yellow Mosaic Virus
chickpea,26.42,87.77,41.74,9.5,0.613,Medium,Ascochyta Blight
blackgram,15.66,77.14,71.72,5.05,0.45,Medium,Leaf Crinkle
muskmelon,32.93,70.66,68.15,12.12,0.591,Medium,Downy Mildew
banana,34.92,83.04,94.21,9.86,0.557,Medium,Sigatoka Leaf Spot
coffee,22.74,66.78,117.92,8.05,0.493,Medium,Berry Disease
chickpea,20.05,72.74,23.17,1.38,0.421,Medium,Ascochyta Blight
banana,20.02,73.55,144.91,3.27,0.363,Medium,Panama Wilt
banana,29.48,79.42,167.02,10.65,0.586,Medium,Panama Wilt
coffee,22.84,59.96,37.04,11.06,0.46,Medium,Coffee Leaf Rust
muskmelon,24.01,70.26,124.95,0.0,0.473,Medium,Powdery Mildew
blackgram,30.38,88.36,186.61,17.93,0.74,High,Leaf Crinkle
apple,30.33,87.31,12.46,3.15,0.49,Medium,Fire Blight
cotton,25.53,69.57,87.71,8.17,0.595,Medium,Bacterial Blight
kidneybeans,24.81,81.45,54.26,12.79,0.654,High,Angular Leaf Spot
blackgram,22.63,84.87,129.78,7.71,0.557,Medium,Yellow Mosaic Virus
banana,21.8,70.51,168.66,6.09,0.398,Medium,Sigatoka Leaf Spot
grapes,25.74,65.83,42.57,17.06,0.605,Medium,Powdery Mildew
pigeonpeas,23.05,83.91,95.45,10.53,0.586,Medium,Sterility Mosaic
watermelon,32.17,69.48,157.85,6.32,0.398,Medium,Anthracnose
watermelon,25.74,58.28,59.82,0.0,0.336,Low,Healthy
muskmelon,34.19,76.8,37.54,15.05,0.611,Medium,Downy Mildew
banana,30.26,46.77,115.98,10.32,0.523,Medium,Panama Wilt
pigeonpeas,32.75,49.17,351.95,8.56,0.602,Medium,Fusarium Wilt
papaya,29.53,68.15,88.9,6.77,0.506,Medium,Powdery Mildew
rice,28.95,91.81,114.71,11.3,0.705,High,Bacterial Leaf Blight
muskmelon,30.47,59.73,46.75,6.53,0.375,Medium,Downy Mildew
papaya,27.85,85.18,39.09,3.8,0.512,Medium,Powdery Mildew
papaya,33.36,73.42,29.02,4.64,0.421,Medium,Papaya Ring Spot Virus
chickpea,22.27,91.22,76.59,15.12,0.646,Medium,Ascochyta Blight
coffee,21.8,82.48,11.72,3.74,0.437,Medium,Berry Disease
lentil,21.59,58.75,145.9,7.07,0.471,Medium,Rust
rice,29.27,61.67,67.74,8.21,0.475,Medium,Sheath Blight
lentil,38.84,59.95,82.34,3.86,0.361,Medium,Wilt
rice,31.58,54.2,182.73,9.51,0.468,Medium,Rice Blast
papaya,26.89,75.05,47.91,11.15,0.628,Medium,Papaya Ring Spot Virus
maize,25.47,69.12,45.69,6.26,0.503,Medium,Maize Leaf Blight
cotton,35.63,80.0,74.78,2.16,0.425,Medium,Leaf Curl Virus
mothbeans,26.4,82.67,186.24,9.71,0.703,High,Yellow Mosaic Virus
jute,25.35,79.72,141.59,4.66,0.513,Medium,Stem Rot
maize,33.08,94.39,173.35,11.0,0.637,Medium,Common Rust
coconut,21.12,83.18,38.12,7.89,0.524,Medium,Leaf Blight
kidneybeans,23.66,66.98,132.36,12.58,0.527,Medium,Angular Leaf Spot
mothbeans,32.61,94.1,46.58,0.0,0.453,Medium,Powdery Mildew
maize,30.42,67.63,19.98,12.49,0.532,Medium,Maize Leaf Blight
mothbeans,21.35,59.55,193.65,10.19,0.632,Medium,Powdery Mildew
blackgram,29.5,68.51,57.49,0.33,0.423,Medium,Leaf Crinkle
cotton,26.92,87.16,70.93,10.11,0.6,Medium,Bacterial Blight
lentil,32.32,87.19,28.25,9.21,0.651,High,Wilt
rice,25.9,73.76,97.85,11.79,0.543,Medium,Bacterial Leaf Blight
apple,22.58,57.33,123.74,13.94,0.543,Medium,Fire Blight
blackgram,36.28,72.35,128.3,14.92,0.497,Medium,Leaf Crinkle
rice,35.66,89.13,138.01,9.76,0.646,Medium,Bacterial Leaf Blight
chickpea,23.53,100.0,185.49,11.18,0.806,High,Fusarium Wilt
pomegranate,26.54,63.84,67.97,2.45,0.399,Medium,Fruit Rot
apple,25.77,70.02,198.69,9.91,0.588,Medium,Fire Blight
coffee,25.28,77.93,103.5,8.09,0.552,Medium,Berry Disease
mango,21.53,76.5,20.31,12.2,0.641,Medium,Anthracnose
chickpea,31.22,70.65,69.17,9.41,0.543,Medium,Fusarium Wilt
watermelon,29.47,76.94,233.34,1.27,0.536,Medium,Anthracnose
banana,22.59,69.87,326.66,12.08,0.645,Medium,Panama Wilt
mothbeans,22.63,63.35,71.22,3.28,0.375,Medium,Yellow Mosaic Virus
orange,27.88,53.84,56.46,12.76,0.639,Medium,Greening (HLB)
rice,26.1,77.36,177.97,10.08,0.618,Medium,Rice Blast
blackgram,23.45,72.37,400.0,4.56,0.596,Medium,Leaf Crinkle
jute,25.11,71.6,196.43,5.97,0.49,Medium,Anthracnose
papaya,29.05,68.19,50.95,2.8,0.41,Medium,Papaya Ring Spot Virus
pomegranate,18.3,83.13,345.3,4.2,0.655,High,Fruit Rot
rice,34.26,69.71,102.51,5.52,0.498,Medium,Rice Blast
blackgram,28.08,79.85,146.88,8.33,0.688,High,Leaf Crinkle
maize,27.22,84.1,110.56,4.75,0.569,Medium,Maize Leaf Blight
rice,27.22,72.57,37.41,5.02,0.422,Medium,Rice Blast
kidneybeans,22.12,80.83,176.41,9.49,0.659,High,Angular Leaf Spot
banana,28.03,59.68,322.07,2.24,0.51,Medium,Sigatoka Leaf Spot
grapes,25.91,92.66,245.5,6.54,0.769,High,Downy Mildew
apple,23.74,82.1,55.63,10.7,0.628,Medium,Apple Scab
coffee,24.78,61.22,120.9,4.62,0.385,Medium,Berry Disease
mango,22.94,62.35,102.85,14.41,0.499,Medium,Anthracnose
pomegranate,28.22,78.93,67.93,12.66,0.682,High,Fruit Rot
lentil,16.35,58.04,52.8,9.16,0.475,Medium,Wilt
mungbean,24.04,83.2,229.15,10.12,0.662,High,Yellow Mosaic Virus
blackgram,29.89,66.86,119.95,5.73,0.576,Medium,Yellow Mosaic Virus
mungbean,32.66,84.58,245.6,0.0,0.475,Medium,Yellow Mosaic Virus
maize,30.15,76.58,177.77,11.14,0.672,High,Maize Leaf Blight
apple,27.41,85.18,191.26,7.79,0.608,Medium,Fire Blight
mungbean,27.98,89.48,146.92,6.15,0.598,Medium,Cercospora Leaf Spot
watermelon,31.15,66.58,51.01,9.51,0.551,Medium,Anthracnose
maize,18.45,66.14,59.46,3.69,0.395,Medium,Maize Leaf Blight
lentil,23.3,60.04,15.33,7.72,0.503,Medium,Rust
mungbean,29.33,56.83,47.98,0.0,0.345,Low,Healthy
kidneybeans,32.78,55.98,102.4,10.02,0.529,Medium,Bean Rust
lentil,25.47,62.55,62.03,0.0,0.341,Low,Healthy
coffee,19.55,71.8,110.1,14.92,0.691,High,Berry Disease
banana,28.3,66.69,34.42,12.47,0.507,Medium,Sigatoka Leaf Spot
banana,27.34,86.56,123.17,12.53,0.744,High,Sigatoka Leaf Spot
chickpea,20.85,62.39,16.5,9.0,0.48,Medium,Fusarium Wilt
maize,19.19,81.51,202.2,3.45,0.428,Medium,Maize Leaf Blight
rice,36.8,60.26,44.03,3.77,0.309,Low,Healthy
mungbean,20.38,78.0,208.67,7.61,0.513,Medium,Cercospora Leaf Spot
watermelon,29.63,75.72,157.63,10.12,0.592,Medium,Anthracnose
grapes,23.79,84.18,52.25,8.23,0.542,Medium,Powdery Mildew
chickpea,20.42,58.43,143.1,13.45,0.463,Medium,Ascochyta Blight
cotton,21.65,54.55,64.58,7.57,0.431,Medium,Bacterial Blight
mango,31.94,78.25,181.57,8.97,0.589,Medium,Anthracnose
pomegranate,26.46,91.95,240.33,11.27,0.706,High,Fruit Rot
coffee,19.99,83.06,56.41,4.15,0.497,Medium,Coffee Leaf Rust
chickpea,21.59,79.74,321.66,6.45,0.679,High,Fusarium Wilt
lentil,30.65,81.61,277.99,18.72,0.943,High,Rust
lentil,32.49,67.49,400.0,10.55,0.653,High,Wilt
lentil,18.54,80.5,86.76,9.0,0.601,Medium,Rust
orange,25.16,76.14,77.79,11.54,0.501,Medium,Greening (HLB)
kidneybeans,21.45,77.5,116.5,7.3,0.441,Medium,Bean Rust
maize,29.51,87.79,132.86,8.04,0.608,Medium,Maize Leaf Blight
muskmelon,28.8,84.26,186.65,8.97,0.728,High,Downy Mildew
watermelon,35.57,71.04,63.22,1.59,0.326,Low,Healthy
mothbeans,33.49,100.0,227.38,10.52,0.743,High,Powdery Mildew
jute,27.34,56.11,41.82,5.93,0.344,Low,Healthy
jute,30.79,59.48,35.72,7.11,0.429,Medium,Anthracnose
banana,23.95,71.48,50.77,11.1,0.536,Medium,Panama Wilt
mothbeans,24.62,86.47,161.69,14.17,0.679,High,Yellow Mosaic Virus
mothbeans,29.63,66.32,133.87,8.2,0.657,High,Powdery Mildew
coconut,27.3,93.99,89.96,7.42,0.658,High,Bud Rot
coconut,28.09,74.88,143.95,10.0,0.573,Medium,Leaf Blight
cotton,37.03,67.67,18.93,11.32,0.468,Medium,Leaf Curl Virus
lentil,33.52,81.35,35.45,5.81,0.497,Medium,Wilt
banana,25.71,46.71,131.27,0.31,0.368,Medium,Panama Wilt
lentil,28.84,75.95,65.04,8.05,0.563,Medium,Wilt
pigeonpeas,36.31,80.66,150.6,2.16,0.506,Medium,Sterility Mosaic
jute,22.9,88.92,54.13,8.9,0.604,Medium,Stem Rot
apple,20.09,64.97,70.66,5.34,0.551,Medium,Apple Scab
jute,28.49,83.43,56.34,7.38,0.605,Medium,Anthracnose
banana,30.29,73.73,134.63,9.39,0.602,Medium,Sigatoka Leaf Spot
mothbeans,17.61,84.32,98.22,7.07,0.522,Medium,Yellow Mosaic Virus
watermelon,27.82,80.67,138.36,1.61,0.544,Medium,Fusarium Wilt
orange,27.06,56.28,44.93,5.98,0.501,Medium,Greening (HLB)
papaya,18.34,84.94,100.9,8.93,0.564,Medium,Papaya Ring Spot Virus
muskmelon,27.76,71.59,167.64,6.51,0.585,Medium,Powdery Mildew
rice,28.67,74.69,126.34,1.64,0.382,Medium,Bacterial Leaf Blight
muskmelon,24.79,79.67,9.24,11.52,0.539,Medium,Downy Mildew
watermelon,33.63,84.44,9.21,2.7,0.393,Medium,Anthracnose
apple,25.84,65.29,109.74,5.16,0.466,Medium,Apple Scab
pigeonpeas,24.31,55.35,186.95,12.36,0.54,Medium,Sterility Mosaic
pigeonpeas,25.88,45.95,78.39,6.36,0.511,Medium,Sterility Mosaic
kidneybeans,28.44,82.45,137.86,10.34,0.688,High,Angular Leaf Spot
mothbeans,19.83,61.29,30.06,10.12,0.423,Medium,Powdery Mildew
pomegranate,23.91,91.47,321.09,7.55,0.76,High,Fruit Rot
mango,21.79,91.48,32.87,9.55,0.552,Medium,Powdery Mildew
rice,22.98,81.61,133.87,5.1,0.515,Medium,Sheath Blight
blackgram,27.01,92.0,333.66,6.93,0.695,High,Yellow Mosaic Virus
lentil,35.42,66.44,77.03,10.91,0.482,Medium,Rust
apple,31.45,65.1,185.3,12.95,0.661,High,Apple Scab
orange,23.93,83.91,84.85,8.33,0.425,Medium,Citrus Canker
mungbean,25.15,68.29,36.58,9.82,0.545,Medium,Cercospora Leaf Spot
mango,26.78,66.4,112.02,11.71,0.517,Medium,Anthracnose
pigeonpeas,21.53,74.48,109.42,7.84,0.576,Medium,Fusarium Wilt
watermelon,21.73,83.48,167.06,13.67,0.543,Medium,Fusarium Wilt
papaya,26.93,76.25,37.86,7.36,0.603,Medium,Powdery Mildew
blackgram,19.89,71.14,103.23,1.43,0.487,Medium,Yellow Mosaic Virus
apple,31.29,54.71,240.86,14.12,0.573,Medium,Apple Scab
kidneybeans,34.05,65.71,202.4,5.5,0.571,Medium,Angular Leaf Spot
muskmelon,28.04,67.51,40.67,7.36,0.524,Medium,Powdery Mildew
pomegranate,31.0,65.18,41.2,10.16,0.577,Medium,Fruit Rot
pomegranate,34.38,79.48,132.48,14.61,0.72,High,Fruit Rot
jute,19.19,89.21,86.49,9.49,0.503,Medium,Anthracnose
coffee,31.08,68.23,28.64,16.64,0.609,Medium,Coffee Leaf Rust
pigeonpeas,24.01,68.34,91.09,6.24,0.512,Medium,Sterility Mosaic
muskmelon,32.92,74.53,67.01,6.92,0.558,Medium,Downy Mildew
mungbean,26.95,83.47,145.97,12.24,0.625,Medium,Yellow Mosaic Virus
pigeonpeas,31.01,93.0,223.47,8.74,0.635,Medium,Sterility Mosaic
mothbeans,25.8,83.81,115.08,5.71,0.597,Medium,Powdery Mildew
kidneybeans,20.28,84.32,95.44,5.87,0.57,Medium,Bean Rust
jute,31.05,85.92,250.37,9.1,0.665,High,Stem Rot
mango,32.43,70.69,37.72,7.95,0.454,Medium,Powdery Mildew
chickpea,32.63,86.7,54.66,5.42,0.554,Medium,Ascochyta Blight
pigeonpeas,22.15,93.08,41.79,6.25,0.547,Medium,Fusarium Wilt
maize,29.73,88.17,169.11,3.39,0.626,Medium,Gray Leaf Spot
mungbean,35.5,65.36,304.0,10.05,0.661,High,Cercospora Leaf Spot
maize,31.77,80.94,111.71,4.55,0.562,Medium,Common Rust
muskmelon,33.05,74.65,45.28,4.1,0.374,Medium,Powdery Mildew
mango,25.99,76.76,175.06,9.45,0.667,High,Anthracnose
lentil,31.66,71.39,197.76,5.26,0.602,Medium,Wilt
mothbeans,26.11,83.64,31.5,10.33,0.646,Medium,Powdery Mildew
kidneybeans,18.35,74.38,123.4,6.65,0.549,Medium,Angular Leaf Spot
apple,21.61,72.49,230.97,8.41,0.628,Medium,Fire Blight
pigeonpeas,23.01,82.2,95.13,6.18,0.48,Medium,Sterility Mosaic
coconut,17.94,86.08,79.13,7.45,0.525,Medium,Bud Rot
coffee,26.99,63.1,168.97,4.5,0.521,Medium,Coffee Leaf Rust
apple,27.21,70.77,142.72,1.04,0.522,Medium,Apple Scab
mungbean,22.18,62.98,320.65,7.99,0.618,Medium,Cercospora Leaf Spot
chickpea,21.38,78.83,29.26,6.05,0.555,Medium,Fusarium Wilt
blackgram,25.72,55.89,94.45,6.61,0.481,Medium,Leaf Crinkle
coffee,23.78,63.93,40.51,5.12,0.44,Medium,Coffee Leaf Rust
banana,27.67,77.93,13.2,8.99,0.432,Medium,Sigatoka Leaf Spot
chickpea,27.16,64.82,38.78,8.89,0.505,Medium,Fusarium Wilt
pomegranate,30.08,94.69,122.63,10.29,0.749,High,Fruit Rot
watermelon,22.81,75.26,34.3,7.53,0.532,Medium,Fusarium Wilt
mothbeans,18.46,74.49,160.0,8.43,0.596,Medium,Yellow Mosaic Virus
cotton,37.32,63.95,201.55,1.04,0.391,Medium,Bacterial Blight
mothbeans,26.56,84.47,163.56,4.34,0.612,Medium,Yellow Mosaic Virus
mungbean,28.79,53.99,302.76,9.57,0.607,Medium,Yellow Mosaic Virus
rice,28.83,71.57,139.45,11.74,0.515,Medium,Sheath Blight
grapes,19.18,90.72,230.87,7.53,0.478,Medium,Powdery Mildew
grapes,39.45,69.47,349.37,0.99,0.584,Medium,Downy Mildew
apple,27.88,89.27,12.18,9.59,0.638,Medium,Fire Blight
watermelon,24.61,73.75,18.65,12.09,0.555,Medium,Fusarium Wilt
coffee,18.8,67.6,105.47,11.17,0.528,Medium,Coffee Leaf Rust
mothbeans,27.73,58.88,81.71,10.42,0.484,Medium,Yellow Mosaic Virus
mango,25.86,80.18,142.75,3.64,0.53,Medium,Powdery Mildew
grapes,19.98,83.86,41.63,5.48,0.469,Medium,Powdery Mildew
mungbean,18.93,47.6,174.07,11.59,0.47,Medium,Cercospora Leaf Spot
pigeonpeas,23.71,75.77,156.97,6.19,0.544,Medium,Fusarium Wilt
pigeonpeas,39.17,70.23,148.75,10.32,0.456,Medium,Fusarium Wilt
mungbean,25.83,92.83,48.87,3.49,0.462,Medium,Yellow Mosaic Virus
kidneybeans,31.49,74.84,77.42,11.97,0.637,Medium,Angular Leaf Spot
orange,30.58,75.9,81.27,12.2,0.615,Medium,Citrus Canker
rice,24.33,70.06,247.04,0.0,0.584,Medium,Sheath Blight
apple,33.41,75.86,268.44,12.03,0.637,Medium,Fire Blight
papaya,29.5,100.0,120.88,9.73,0.624,Medium,Powdery Mildew
mango,20.36,63.68,231.08,7.7,0.573,Medium,Anthracnose
